date,IN_METAL_Q,T1_O2,METAL_Q,TEMPERATURE,IN_Q,MAX_CF,PROCESSPHASE_INLET,PROCESSPHASE_OUTLET,T1_NH4,T1_PO4,po4_rate
2021-08-01 00:46:00,0.0,0.006,0.007,16.087,1712.765,77.876,1.0,2.0,0.52,0.12,0.039999999999999994
2021-08-01 00:48:00,0.0,0.0,0.007,16.074,1699.529,82.083,1.0,2.0,0.52,0.12,0.0
2021-08-01 00:50:00,0.0,0.0,0.007,16.062,1668.21,85.557,2.0,2.0,0.29,0.12,0.0
2021-08-01 00:52:00,0.0,0.0,0.007,16.081,1627.188,88.273,2.0,2.0,0.29,0.11,-0.009999999999999995
2021-08-01 00:54:00,0.0,0.022,0.007,16.074,1155.87,86.005,2.0,1.0,0.29,0.11,0.0
2021-08-01 00:56:00,0.0,0.924,0.007,16.055,1007.728,82.481,2.0,1.0,0.15,0.08,-0.03
2021-08-01 00:58:00,0.0,1.548,1.418,16.049,1013.58,79.369,2.0,1.0,0.15,0.09,0.009999999999999995
2021-08-01 01:00:00,5.498,1.694,0.007,16.036,890.184,75.334,2.0,1.0,0.14,0.09,0.0
2021-08-01 01:02:00,246.745,1.361,0.007,16.036,1166.771,74.468,1.0,1.0,0.13,0.07,-0.01999999999999999
2021-08-01 01:04:00,0.0,0.817,0.007,16.093,1213.028,74.152,1.0,1.0,0.13,0.07,0.0
2021-08-01 01:06:00,0.0,0.292,0.007,16.049,1492.792,76.665,1.0,2.0,0.45,0.1,0.03
2021-08-01 01:08:00,0.0,0.001,0.007,16.036,1031.288,74.311,1.0,2.0,0.45,0.1,0.0
2021-08-01 01:10:00,0.0,0.0,0.007,15.973,1077.796,72.658,1.0,2.0,0.52,0.1,0.0
2021-08-01 01:12:00,0.036,0.0,0.007,16.062,1119.744,71.589,1.0,2.0,0.54,0.16,0.06
2021-08-01 01:14:00,0.036,0.0,0.007,16.081,1157.759,71.008,2.0,2.0,0.54,0.16,0.0
2021-08-01 01:16:00,83.695,0.0,0.007,16.074,1317.043,72.078,2.0,2.0,0.29,0.13,-0.03
2021-08-01 01:18:00,0.0,0.0,0.007,16.005,1222.642,72.096,2.0,1.0,0.29,0.13,0.0
2021-08-01 01:20:00,0.0,0.547,0.007,16.138,1244.207,72.329,2.0,1.0,0.24,0.13,0.0
2021-08-01 01:22:00,0.0,1.095,0.007,16.081,1257.012,72.666,2.0,1.0,0.16,0.09,-0.04000000000000001
2021-08-01 01:24:00,0.0,0.738,0.007,16.03,1059.288,70.992,2.0,1.0,0.16,0.09,0.0
2021-08-01 01:26:00,0.0,0.486,0.007,16.074,955.682,68.45,1.0,1.0,0.18,0.08,-0.009999999999999995
2021-08-01 01:28:00,0.036,1.311,0.007,16.081,845.293,65.058,1.0,1.0,0.18,0.08,0.0
2021-08-01 01:30:00,0.0,1.363,0.007,16.055,1536.193,68.914,1.0,2.0,0.54,0.08,0.0
2021-08-01 01:32:00,248.662,0.631,0.007,16.093,1438.886,71.411,1.0,2.0,0.54,0.12,0.039999999999999994
2021-08-01 01:34:00,0.0,0.051,0.007,16.062,1407.596,73.346,1.0,2.0,0.54,0.12,0.0
2021-08-01 01:36:00,0.0,0.0,0.007,16.163,937.97,70.391,1.0,2.0,0.49,0.16,0.04000000000000001
2021-08-01 01:38:00,0.0,0.0,0.007,16.119,1020.512,68.557,2.0,2.0,0.49,0.16,0.0
2021-08-01 01:40:00,0.0,0.0,0.007,16.112,1078.279,67.484,2.0,2.0,0.49,0.16,0.0
